order_id,customer_id,order_date,order_total,status
1000001,41906,2026-08-23,17.38,delivered
1000002,16050,2026-08-21,74.07,placed
1000003,44349,2026-08-13,446.63,placed
1000004,38699,2026-08-18,20.73,placed
1000005,14329,2026-08-21,255.15,placed
1000006,36782,2026-08-21,359.43,returned
1000007,14447,2026-08-17,296.69,placed
1000008,49730,2026-08-12,84.03,returned
1000009,22299,2026-08-20,81.96,delivered,EXTRA_COL_VALUE
1000010,,2026-08-23,193.06,delivered
1000011,22542,2026-08-15,Not_a_number,placed
1000012,jhon do,2026-08-17,270.43,returned
1000013,5165,2026-08-16,150.12,delivered
1000014,37838,,353.76,placed
1000015,43337,2026-08-21,387.67,placed
1000016,15257,2026-08-11,55.0,delivered
1000017,29715,2026-08-14,417.88,shipped
1000018,24261,2026-08-19,108.71,delivered
1000019,45995,2026-08-10,343.36,placed
1000020,39921,2026-08-14,89.71,shipped
1000021,10709,2026-08-17,192.83,shipped
1000022,44867,2026-08-19,422.21,placed
1000023,15011,2026-08-11,20.89,delivered
1000024,26291,2026-08-20,37.76,delivered
1000025,13935,2026-08-14,252.12,returned
1000026,9364,2026-08-20,74.12,delivered
1000027,48957,2026-08-15,217.07,returned
1000028,23724,2026-08-21,498.68,shipped
1000029,33393,2026-08-17,50.0,placed
1000030,7186,2026-08-22,315.59,returned
1000031,39087,2026-08-23,195.46,returned
1000032,34677,2026-08-20,485.68,placed
1000033,44584,2026-08-13,61.7,delivered
1000034,42007,2026-08-19,60.22,returned
1000035,10366,2026-08-17,6.61,delivered
1000036,32807,2026-08-12,93.43,placed
1000037,40980,2026-08-20,421.63,shipped
1000038,10017,2026-08-19,382.44,placed
1000039,39253,2026-08-19,246.86,placed
1000040,23789,2026-08-10,492.73,delivered
1000041,15693,2026-08-24,124.23,placed
1000042,5614,2026-08-13,245.57,placed
1000043,49847,2026-08-16,384.09,shipped
1000044,43238,2026-08-17,473.69,shipped
1000045,17371,2026-08-16,436.85,returned
1000046,13881,2026-08-10,271.95,shipped
1000047,46724,2026-08-20,202.5,delivered
1000048,28712,2026-08-10,261.2,placed
1000049,16247,2026-08-21,36.69,placed
1000050,38556,2026-08-16,118.91,shipped
1000051,472,2026-08-23,355.38,placed
1000052,15004,2026-08-23,453.18,delivered
1000053,4644,2026-08-16,122.81,returned
1000054,14041,2026-08-16,70.49,returned
1000055,15926,2026-08-12,239.12,returned
1000056,15925,2026-08-23,52.98,returned
1000057,23220,2026-08-18,208.5,placed
1000058,44130,2026-08-14,492.16,placed
1000059,3973,2026-08-18,365.47,placed
1000060,16296,2026-08-21,99.15,returned
1000061,9187,2026-08-18,95.83,returned
1000062,16372,2026-08-11,462.02,returned
1000063,36067,2026-08-23,30.04,placed
1000064,6113,2026-08-10,378.01,shipped
1000065,10900,2026-08-18,245.39,shipped
1000066,26283,2026-08-10,34.02,returned
1000067,142,2026-08-18,136.28,returned
1000068,18695,2026-08-18,349.81,returned
1000069,10145,2026-08-21,151.87,placed
1000070,37958,2026-08-13,273.39,delivered
1000071,3747,2026-08-24,294.17,shipped
1000072,3728,2026-08-16,44.66,shipped
1000073,4491,2026-08-15,38.64,shipped
1000074,26462,2026-08-23,471.09,shipped
1000075,37941,2026-08-15,24.67,placed
1000076,27475,2026-08-14,293.92,delivered
1000077,17090,2026-08-21,336.51,delivered
1000078,15643,2026-08-20,200.91,delivered
1000079,29965,2026-08-19,464.86,placed
1000080,611,2026-08-17,312.47,placed
1000081,4802,2026-08-16,110.51,delivered
