order_id,customer_id,order_date,order_total,order_status,channel
2000001,26476,2026-08-15,104.04,shipped,mobile_app
2000002,16282,2026-08-23,381.14,delivered,phone
2000003,34788,2026-08-06,351.74,placed,phone
2000004,13073,2026-08-14,362.5,shipped,marketplace
2000005,25436,2026-07-31,342.77,shipped,phone
2000006,43291,2026-08-22,425.73,delivered,web
2000007,46969,2026-08-11,340.3,placed,phone
2000008,20735,2026-08-15,26.11,placed,phone
2000009,13354,2026-08-16,494.84,placed,phone
2000010,33991,2026-07-30,103.05,returned,web
2000011,23431,2026-08-23,111.83,shipped,phone
2000012,39022,2026-07-29,491.53,shipped,web
2000013,7196,2026-08-27,89.74,returned,web
2000014,27881,2026-08-07,47.58,delivered,web
2000015,24974,2026-08-17,72.23,returned,mobile_app
2000016,3631,2026-08-07,109.66,delivered,phone
2000017,8281,2026-08-16,470.97,returned,web
2000018,8581,2026-08-04,432.65,shipped,phone
2000019,8151,2026-08-24,63.76,delivered,mobile_app
2000020,11643,2026-08-14,77.03,shipped,marketplace
2000021,32712,2026-08-02,120.78,delivered,web
2000022,23705,2026-08-22,340.77,delivered,web
2000023,38384,2026-08-01,28.6,shipped,phone
2000024,26156,2026-08-17,412.07,returned,phone
2000025,27137,2026-08-01,188.63,placed,mobile_app
2000026,2464,2026-07-29,189.63,returned,phone
2000027,15088,2026-08-18,427.52,shipped,marketplace
2000028,6931,2026-07-31,345.5,delivered,mobile_app
2000029,46632,2026-08-06,357.25,returned,marketplace
2000030,28713,2026-08-03,479.75,returned,phone
2000031,16792,2026-08-25,254.06,delivered,phone
2000032,34947,2026-08-23,465.27,delivered,phone
2000033,19064,2026-08-14,484.22,shipped,marketplace
2000034,24836,2026-08-06,340.78,returned,mobile_app
2000035,24893,2026-08-17,444.3,delivered,web
2000036,43717,2026-08-16,348.7,shipped,mobile_app
2000037,41948,2026-08-19,330.3,shipped,phone
2000038,22646,2026-08-06,202.95,placed,mobile_app
2000039,85,2026-08-11,158.71,shipped,phone
2000040,13455,2026-08-19,375.55,returned,phone
2000041,36725,2026-08-11,314.86,delivered,mobile_app
2000042,48447,2026-08-27,499.77,delivered,web
2000043,38045,2026-08-26,480.76,returned,marketplace
2000044,24198,2026-08-10,315.07,delivered,mobile_app
2000045,49589,2026-08-24,495.95,returned,phone
2000046,11289,2026-08-19,233.11,shipped,mobile_app
2000047,29266,2026-07-31,425.86,returned,phone
2000048,36824,2026-07-28,358.95,delivered,marketplace
2000049,13607,2026-08-19,234.27,returned,mobile_app
2000050,31404,2026-08-09,447.0,returned,mobile_app
2000051,4899,2026-08-10,123.59,returned,web
2000052,7528,2026-08-17,399.15,placed,marketplace
2000053,42939,2026-08-04,6.95,delivered,web
2000054,38204,2026-08-17,209.9,shipped,mobile_app
2000055,38545,2026-07-29,28.51,placed,web
2000056,22439,2026-08-11,118.83,delivered,mobile_app
2000057,28776,2026-08-26,349.29,returned,mobile_app
2000058,12353,2026-08-24,244.91,delivered,marketplace
2000059,43047,2026-08-16,39.97,shipped,mobile_app
2000060,45995,2026-08-16,328.04,placed,web
2000061,47498,2026-08-23,413.41,shipped,web
2000062,2169,2026-08-03,258.8,returned,mobile_app
2000063,23194,2026-07-31,392.23,shipped,mobile_app
2000064,22289,2026-08-03,31.14,delivered,phone
2000065,12321,2026-08-18,93.89,placed,mobile_app
2000066,32543,2026-08-07,483.49,placed,mobile_app
2000067,24697,2026-07-29,342.65,placed,mobile_app
2000068,37143,2026-08-13,367.84,placed,mobile_app
2000069,10910,2026-08-03,224.74,delivered,marketplace
2000070,38621,2026-08-26,294.25,placed,marketplace
2000071,10409,2026-08-23,472.1,delivered,marketplace
2000072,19013,2026-08-24,248.76,placed,web
2000073,23183,2026-08-22,305.21,delivered,marketplace
2000074,43516,2026-08-17,403.72,placed,phone
2000075,17739,2026-08-08,117.18,shipped,web
2000076,18926,2026-08-04,202.77,shipped,mobile_app
2000077,34349,2026-08-14,495.86,shipped,mobile_app
2000078,42455,2026-08-19,86.1,placed,phone
2000079,284,2026-08-09,472.08,shipped,mobile_app
2000080,11780,2026-08-07,153.73,delivered,mobile_app
2000081,37995,2026-08-03,218.16,placed,web
2000082,32964,2026-08-15,468.79,returned,web
2000083,10856,2026-08-09,120.49,returned,mobile_app
2000084,31338,2026-07-29,308.05,delivered,mobile_app
2000085,15246,2026-08-04,288.58,shipped,web
2000086,28596,2026-08-08,104.83,shipped,mobile_app
2000087,31157,2026-08-04,449.22,shipped,marketplace
2000088,11000,2026-08-07,260.33,placed,mobile_app
2000089,15762,2026-08-11,117.25,returned,phone
2000090,34366,2026-08-10,40.88,delivered,marketplace
2000091,37001,2026-08-17,250.37,placed,web
2000092,2507,2026-08-14,35.77,shipped,web
2000093,43454,2026-08-18,96.63,delivered,web
2000094,37831,2026-08-11,151.19,delivered,web
2000095,10440,2026-08-16,197.67,delivered,marketplace
2000096,12984,2026-08-13,32.6,placed,marketplace
2000097,15179,2026-08-23,306.09,returned,web
2000098,23517,2026-07-28,162.4,returned,mobile_app
2000099,35280,2026-08-23,391.0,placed,web
2000100,11531,2026-08-21,114.95,delivered,web
2000101,42272,2026-08-27,219.86,returned,web
2000102,45343,2026-07-31,486.47,delivered,phone
2000103,27771,2026-08-10,438.66,delivered,marketplace
2000104,46667,2026-08-16,405.16,delivered,mobile_app
2000105,4223,2026-07-29,21.45,delivered,marketplace
2000106,40693,2026-08-24,139.14,delivered,mobile_app
2000107,13936,2026-08-13,334.25,placed,marketplace
2000108,5088,2026-08-03,194.79,placed,marketplace
2000109,32387,2026-08-03,471.22,returned,phone
2000110,49454,2026-08-17,257.28,shipped,web
2000111,18779,2026-08-15,388.7,placed,marketplace
2000112,29739,2026-08-04,247.59,placed,web
2000113,3117,2026-08-09,46.39,shipped,phone
2000114,12608,2026-08-14,442.18,placed,web
2000115,7954,2026-08-02,163.61,shipped,web
2000116,834,2026-08-14,416.03,delivered,mobile_app
2000117,8837,2026-08-01,388.09,delivered,mobile_app
2000118,46247,2026-08-14,56.82,shipped,phone
2000119,25307,2026-08-07,52.66,delivered,marketplace
2000120,16397,2026-07-31,493.41,shipped,marketplace
2000121,47685,2026-08-24,22.39,placed,marketplace
2000122,31029,2026-08-15,68.57,delivered,phone
2000123,14255,2026-07-31,498.42,delivered,phone
2000124,16534,2026-08-11,130.21,shipped,phone
2000125,18562,2026-08-23,99.21,shipped,mobile_app
2000126,40217,2026-08-16,302.93,placed,mobile_app
2000127,36424,2026-08-14,391.77,placed,marketplace
2000128,47509,2026-08-02,368.14,placed,web
2000129,27663,2026-08-25,215.75,placed,web
2000130,315,2026-08-21,435.33,placed,mobile_app
2000131,19577,2026-08-21,61.69,delivered,marketplace
2000132,11353,2026-08-01,279.71,shipped,web
2000133,40398,2026-08-24,165.2,shipped,marketplace
2000134,26511,2026-08-17,254.45,returned,marketplace
2000135,31426,2026-08-10,310.19,shipped,marketplace
2000136,8567,2026-08-26,353.02,shipped,mobile_app
2000137,41161,2026-08-11,304.41,returned,mobile_app
2000138,39567,2026-08-16,280.9,delivered,web
2000139,1076,2026-08-08,298.78,shipped,mobile_app
2000140,28582,2026-08-26,38.81,delivered,marketplace
2000141,23785,2026-08-22,279.02,placed,marketplace
