NAME,STATE,SCHEDULED_TIME,COMPLETED_TIME
APPLY_OVERRIDES_TASK,SCHEDULED,2026-09-01 15:38:00.000 -0700,
SEND_ACCOUNT_NOTIFICATIONS_TASK,SCHEDULED,2026-09-01 05:42:00.000 -0700,
METRIC_COLLECTION_TASK,SCHEDULED,2026-08-27 01:11:45.125 -0700,
PROCESS_ACTIVE_DETECTIONS,SCHEDULED,2026-08-27 00:41:00.000 -0700,
CORTEX_BASE_MODELS_REFRESH_TASK,SCHEDULED,2026-08-26 23:29:00.000 -0700,
EVENT_DRIVEN_SCANNER_PROBER_TASK,SCHEDULED,2026-08-26 15:37:00.000 -0700,
SECURITY_ESSENTIALS_STRONG_AUTH_LEGACY_SERVICE_USERS_READINESS_TASK,SCHEDULED,2026-08-26 11:34:00.000 -0700,
IS_CLASSIFICATION_USER_CHECKER_TASK,SCHEDULED,2026-08-26 06:49:00.000 -0700,
ROOT_PROCESS_ORDERS_STREAM,SCHEDULED,2026-08-26 06:11:51.285 -0700,
CHILD_LOG_SUMMARY_CHANGE,SUCCEEDED,2026-08-26 06:06:52.672 -0700,2026-08-26 06:06:53.747 -0700
